"source_record_id","source_system","source_batch_id","schema_version","synthetic_vin","request_id","source_updated_at","ingested_at","source_event_id","offer_id","auction_id","event_sequence","event_type","event_at","scheduled_close_at","bid_id","dealer_id","transaction_id","event_amount","event_amount_unit","currency_code","amount_role","auction_result_code"
"SRC3DCB888D34A92D5D","dealer_marketplace","BAT4C2C82CDE9B7","1.0","SYNVEH11435056309","REQ18AB6D4414F1BEFD","2025-01-11T20:20:24Z","2025-01-11T20:40:24Z","MEV82DB12EB9B5C31F5","OFFE4E1A2D36F24C019","AUCD6E578BF2414D9BB","1","listing_created","2025-01-11T20:18:24Z","2025-01-18T20:18:24Z","","","","22701.85","usd","USD","reserve",""
"SRCB26680CBF3581BE4","dealer_marketplace","BAT4C2C82CDE9B7","1.0","SYNVEH80938051535","REQE2D78AFB99541FAF","2025-01-12T01:46:48Z","2025-01-12T02:06:48Z","MEV3DA722B5DEC9ACA0","OFF79F57BC981C0A193","AUCB2D959C18C9A91F9","1","listing_created","2025-01-12T01:44:48Z","2025-01-19T01:44:48Z","","","","24364.85","usd","USD","reserve",""
"SRCFB465AF0D2EA44DF","dealer_marketplace","BAT4C2C82CDE9B7","1.0","SYNVEH02490575522","REQ4BFCB9A4F4BA0D4D","2025-01-12T11:13:12Z","2025-01-12T11:33:12Z","MEV4C83BA98B0FF2DC3","OFFEFF899E2B1D230AA","AUC88A18521AF50619A","1","listing_created","2025-01-12T11:11:12Z","2025-01-19T11:11:12Z","","","","16078.15","usd","USD","reserve",""
"SRCD26BD408A6DBF793","dealer_marketplace","BAT4C2C82CDE9B7","1.0","SYNVEH12589491952","REQEDD522327BD0CA15","2025-01-12T15:46:00Z","2025-01-12T16:06:00Z","MEV265B54D5CE082A79","OFFF78DB78E40043E97","AUC1E477555F19FA16B","1","listing_created","2025-01-12T15:44:00Z","2025-01-19T15:44:00Z","","","","15516.45","usd","USD","reserve",""
"SRC493FE0F7B696205F","dealer_marketplace","BAT4C2C82CDE9B7","1.0","SYNVEH37880579815","REQ1BBE1D3751C5D35F","2025-01-12T16:39:36Z","2025-01-12T16:59:36Z","MEVC2659A00869D9347","OFF15D5437B058117EA","AUC89EE8E1CDAF67DE2","1","listing_created","2025-01-12T16:37:36Z","2025-01-19T16:37:36Z","","","","14209.35","usd","USD","reserve",""
"SRC03A3CEB4A9DB9F44","dealer_marketplace","BAT4C2C82CDE9B7","1.0","SYNVEH39957616274","REQ035C8F165068E256","2025-01-12T22:12:24Z","2025-01-12T22:32:24Z","MEVF5265C831839ED01","OFF79F78755391C9976","AUC8E20B987A13DDA34","1","listing_created","2025-01-12T22:10:24Z","2025-01-19T22:10:24Z","","","","16763.85","usd","USD","reserve",""
"SRC56DF159C76B1F371","dealer_marketplace","BAT4C2C82CDE9B7","1.0","SYNVEH54672236367","REQ9D2369CF46D04002","2025-01-13T06:38:48Z","2025-01-13T06:58:48Z","MEV31FBAEA83DD01058","OFF53786A74798DC77D","AUC439C7FEBCA7A6EAE","1","listing_created","2025-01-13T06:36:48Z","2025-01-20T06:36:48Z","","","","19139.75","usd","USD","reserve",""
"SRC0B71FC7BFBD16172","dealer_marketplace","BAT4C2C82CDE9B7","1.0","SYNVEH00949076713","REQ11ADC8E72C0922F1","2025-01-13T13:05:12Z","2025-01-13T13:25:12Z","MEVA16DD719ECB59468","OFF850CCD0074F06D0F","AUCCB2B99C9B28109C3","1","listing_created","2025-01-13T13:03:12Z","2025-01-20T13:03:12Z","","","","21533.35","usd","USD","reserve",""
"SRC8EDBDFC165CC1DBA","dealer_marketplace","BAT4C2C82CDE9B7","1.0","SYNVEH11435056309","REQ18AB6D4414F1BEFD","2025-01-13T14:20:24Z","2025-01-13T14:40:24Z","MEV949A16E79B27A596","OFFE4E1A2D36F24C019","AUCD6E578BF2414D9BB","2","bid_submitted","2025-01-13T14:18:24Z","","BID9E57997B2099A4AE","DLR04A1A030E1B0","","23508.33","usd","USD","bid",""
"SRC553E730E5C31C75E","dealer_marketplace","BAT4C2C82CDE9B7","1.0","SYNVEH02490575522","REQE2D78AFB99541FAF","2025-01-13T19:46:48Z","2025-01-13T20:06:48Z","MEV9AE84F2764667087","OFF79F57BC981C0A193","AUCB2D959C18C9A91F9","2","bid_submitted","2025-01-13T19:44:48Z","","BID0F4A07D075D62827","DLR53CF028994FD","","24638.52","usd","USD","bid",""
