"source_record_id","source_system","source_batch_id","schema_version","synthetic_vin","request_id","source_updated_at","ingested_at","source_event_id","offer_id","event_type","event_sequence","offer_version","event_at","reason_code","pricing_evaluation_id","feature_cutoff_at","pricing_evaluated_at","pricing_model_version","pricing_policy_version","assessment_id_used","assessment_version_used","predicted_wholesale_value_amount","net_policy_adjustment_amount","seller_offer_amount","pricing_amount_unit","pricing_currency_code","expires_at"
"SRC4C01BC3E2B6D6F67","offer_service","BATFA43E62327EB","1.0","SYNVEH11435056309","REQ18AB6D4414F1BEFD","2025-01-07T10:00:24Z","2025-01-07T10:15:24Z","OEV87217BE2EA92CEA0","OFFE4E1A2D36F24C019","issued","1","1","2025-01-07T09:58:24Z","","PEVE364F72E9EC9DDA2","2025-01-07T09:43:24Z","2025-01-07T09:53:24Z","model_baseline","policy_v1","ASMCEC8A376F3693C62","1","22621.85","0.00","22621.85","usd","USD","2025-03-08T09:58:24Z"
"SRC941C93422997451A","offer_service","BATFA43E62327EB","1.0","SYNVEH80938051535","REQE2D78AFB99541FAF","2025-01-07T16:26:48Z","2025-01-07T16:41:48Z","OEVEE6DD147E5699B3A","OFF79F57BC981C0A193","issued","1","1","2025-01-07T16:24:48Z","","PEV05CB31EEA2524AB0","2025-01-07T16:09:48Z","2025-01-07T16:19:48Z","model_baseline","policy_v1","ASMA0E2DD8022CBFBF1","1","24054.85","250.00","24304.85","usd","USD","2025-03-08T16:24:48Z"
"SRCE4639EA74F9535BA","offer_service","BATFA43E62327EB","1.0","SYNVEH11435056309","REQ18AB6D4414F1BEFD","2025-01-07T20:20:24Z","2025-01-07T20:35:24Z","OEV4F8B2BD23E0AF32F","OFFE4E1A2D36F24C019","revised","2","2","2025-01-07T20:18:24Z","assessment_correction","PEV38AB6BECDA98B0D4","2025-01-07T19:33:23Z","2025-01-07T20:13:24Z","model_baseline","policy_v1","ASMCEC8A376F3693C62","2","22701.85","0.00","22701.85","usd","USD","2025-03-08T20:18:24Z"
"SRCDE4ABF86A863C233","offer_service","BATFA43E62327EB","1.0","SYNVEH02490575522","REQ4BFCB9A4F4BA0D4D","2025-01-08T00:53:12Z","2025-01-08T01:08:12Z","OEV16092A5A40353716","OFFEFF899E2B1D230AA","issued","1","1","2025-01-08T00:51:12Z","","PEVF91142270370D0E3","2025-01-08T00:36:12Z","2025-01-08T00:46:12Z","model_baseline","policy_v1","ASME6D505F2C9B7491C","1","16498.15","-500.00","15998.15","usd","USD","2025-03-09T00:51:12Z"
"SRC966C49F8C874AB51","offer_service","BATFA43E62327EB","1.0","SYNVEH80938051535","REQE2D78AFB99541FAF","2025-01-08T01:46:48Z","2025-01-08T02:01:48Z","OEVAD3AFE88D1DF9411","OFF79F57BC981C0A193","revised","2","2","2025-01-08T01:44:48Z","assessment_correction","PEVE97119E62A93F675","2025-01-08T01:29:48Z","2025-01-08T01:39:48Z","model_baseline","policy_v1","ASMA0E2DD8022CBFBF1","2","24114.85","250.00","24364.85","usd","USD","2025-03-09T01:44:48Z"
"SRCA7AC3FD369BC6B3B","offer_service","BATFA43E62327EB","1.0","SYNVEH37880579815","REQ1BBE1D3751C5D35F","2025-01-08T07:19:36Z","2025-01-08T07:34:36Z","OEVBCE01364D3A279B5","OFF15D5437B058117EA","issued","1","1","2025-01-08T07:17:36Z","","PEVDBF7C19CF5E3E3D1","2025-01-08T07:02:36Z","2025-01-08T07:12:36Z","model_baseline","policy_v1","ASM0A70BB00F5ABBABB","1","14439.35","-250.00","14189.35","usd","USD","2025-03-09T07:17:36Z"
"SRC85191CD7497682F8","offer_service","BATFA43E62327EB","1.0","SYNVEH02490575522","REQ4BFCB9A4F4BA0D4D","2025-01-08T11:13:12Z","2025-01-08T11:28:12Z","OEVC5B0E2BE85104749","OFFEFF899E2B1D230AA","revised","2","2","2025-01-08T11:11:12Z","assessment_correction","PEVC6F9C57F95EAD14E","2025-01-08T10:56:12Z","2025-01-08T11:06:12Z","model_baseline","policy_v1","ASME6D505F2C9B7491C","2","16578.15","-500.00","16078.15","usd","USD","2025-03-09T11:11:12Z"
"SRC548FE25C80AC1E7A","offer_service","BATFA43E62327EB","1.0","SYNVEH37880579815","REQ1BBE1D3751C5D35F","2025-01-08T16:39:36Z","2025-01-08T16:54:36Z","OEV6A26B9968F4F136B","OFF15D5437B058117EA","revised","2","2","2025-01-08T16:37:36Z","assessment_correction","PEVD7F4A5495DCCCE6F","2025-01-08T16:22:36Z","2025-01-08T16:32:36Z","model_baseline","policy_v1","ASM0A70BB00F5ABBABB","2","14459.35","-250.00","14209.35","usd","USD","2025-03-09T16:37:36Z"
"SRC911DA9E6D9219ADC","offer_service","BATFA43E62327EB","1.0","SYNVEH39957616274","REQ035C8F165068E256","2025-01-08T22:12:24Z","2025-01-08T22:27:24Z","OEV738EA32250E3AAED","OFF79F78755391C9976","issued","1","1","2025-01-08T22:10:24Z","","PEV7401752F29152F88","2025-01-08T21:55:24Z","2025-01-08T22:05:24Z","model_baseline","policy_v1","ASMA24CBF1EEB1CE971","1","16513.85","250.00","16763.85","usd","USD","2025-03-09T22:10:24Z"
"SRC7D14813BB0FD0ACA","offer_service","BATFA43E62327EB","1.0","SYNVEH54672236367","REQ9D2369CF46D04002","2025-01-09T06:38:48Z","2025-01-09T06:53:48Z","OEVE65DBFAC5B719F58","OFF53786A74798DC77D","issued","1","1","2025-01-09T06:36:48Z","","PEVE225E00BDC8A64C7","2025-01-09T06:21:48Z","2025-01-09T06:31:48Z","model_baseline","policy_v1","ASM7FAF8CC72F583899","1","1963975","-50000","1913975","usd_cent","USD","2025-03-10T06:36:48Z"
"SRC260EB26BE1C46ECD","offer_service","BATFA43E62327EB","1.0","SYNVEH00949076713","REQ11ADC8E72C0922F1","2025-01-09T13:05:12Z","2025-01-09T13:20:12Z","OEVB4A08C943DD91B3B","OFF850CCD0074F06D0F","issued","1","1","2025-01-09T13:03:12Z","","PEVF08466E46473FCEA","2025-01-09T12:48:12Z","2025-01-09T12:58:12Z","model_baseline","policy_v1","ASMD45BCFB27F09BBBA","1","21783.35","-250.00","21533.35","usd","USD","2025-03-10T13:03:12Z"
"SRC0D77A015CB684048","offer_service","BATFA43E62327EB","1.0","SYNVEH45280038510","REQ5196EA366673473C","2025-01-09T21:31:36Z","2025-01-09T21:46:36Z","OEV5D87DF4DD25CA27F","OFFA541BAB4508B65F3","issued","1","1","2025-01-09T21:29:36Z","","PEVDDAB5CCCDDA9DBAD","2025-01-09T21:14:36Z","2025-01-09T21:24:36Z","model_baseline","policy_v1","ASMFED3CBDC99D7E336","1","21133.05","0.00","21133.05","usd","USD","2025-03-10T21:29:36Z"
"SRC11213DF51D836D85","offer_service","BATFA43E62327EB","1.0","SYNVEH07647262397","REQEF2BC4ACBCC41B0E","2025-01-10T03:58:00Z","2025-01-10T04:13:00Z","OEV85C886A55E9CDC46","OFF8F0E9DAB8ABDE324","issued","1","1","2025-01-10T03:56:00Z","","PEVB833309F958E45E2","2025-01-10T03:41:00Z","2025-01-10T03:51:00Z","model_baseline","policy_v1","ASM3A04068167E4D22C","1","21528.80","250.00","21778.80","usd","USD","2025-03-11T03:56:00Z"
"SRC0F4C16DB0FBA864F","offer_service","BATFA43E62327EB","1.0","SYNVEH08957259698","REQ4400AE2C6817320D","2025-01-10T12:24:24Z","2025-01-10T12:39:24Z","OEV42C18D7339E6FF80","OFF719AD6DE0875EC71","issued","1","1","2025-01-10T12:22:24Z","","PEV121FABC25EE04FFF","2025-01-10T12:07:24Z","2025-01-10T12:17:24Z","model_baseline","policy_v1","ASMA7C075BFB3545EC3","1","12441.35","-500.00","11941.35","usd","USD","2025-03-11T12:22:24Z"
"SRCE48F5513789D61E9","offer_service","BATFA43E62327EB","1.0","SYNVEH25377858974","REQE603CE7E7022905B","2025-01-10T18:50:48Z","2025-01-10T19:05:48Z","OEVD8EEC4FB20AEC9C4","OFF06CE90122BBB3C1C","issued","1","1","2025-01-10T18:48:48Z","","PEV0267D2E05202C359","2025-01-10T18:33:48Z","2025-01-10T18:43:48Z","model_baseline","policy_v1","ASMCD268767EA67961A","1","13368.30","-250.00","13118.30","usd","USD","2025-03-11T18:48:48Z"
"SRC6B6D42052167B429","offer_service","BATFA43E62327EB","1.0","SYNVEH11435056309","REQ18AB6D4414F1BEFD","2025-01-10T20:20:24Z","2025-01-10T20:35:24Z","OEVEAA8D05B7E839555","OFFE4E1A2D36F24C019","accepted","3","2","2025-01-10T20:18:24Z","","","","","","","","","","","","","",""
"SRCC7117C9F4B3EAE0E","offer_service","BATFA43E62327EB","1.0","SYNVEH80938051535","REQE2D78AFB99541FAF","2025-01-11T01:46:48Z","2025-01-11T02:01:48Z","OEV33A1534AAF17B52B","OFF79F57BC981C0A193","accepted","3","2","2025-01-11T01:44:48Z","","","","","","","","","","","","","",""
"SRCD1005C8B93096606","offer_service","BATFA43E62327EB","1.0","SYNVEH67818072246","REQEA1D072F030812A9","2025-01-11T03:17:12Z","2025-01-11T03:32:12Z","OEV004839D993551366","OFF6259965F7067BD0B","issued","1","1","2025-01-11T03:15:12Z","","PEV929C242AFCC8DC62","2025-01-11T03:00:12Z","2025-01-11T03:10:12Z","model_baseline","policy_v1","ASM5C03BECABE4E4DC8","1","17749.65","0.00","17749.65","usd","USD","2025-03-12T03:15:12Z"
"SRCB1A4B28E4D673ABD","offer_service","BATFA43E62327EB","1.0","SYNVEH26061679096","REQ28D5923A6D8E3BFF","2025-01-11T09:43:36Z","2025-01-11T09:58:36Z","OEV26EE4CE7782124BF","OFFE0C3D879835677AF","issued","1","1","2025-01-11T09:41:36Z","","PEV1569DE735090AD7C","2025-01-11T09:26:36Z","2025-01-11T09:36:36Z","model_baseline","policy_v1","ASMF53D071FA09811BD","1","19885.80","250.00","20135.80","usd","USD","2025-03-12T09:41:36Z"
"SRC1832C170BE5F311B","offer_service","BATFA43E62327EB","1.0","SYNVEH02490575522","REQ4BFCB9A4F4BA0D4D","2025-01-11T11:13:12Z","2025-01-11T11:28:12Z","OEV8C185AF766B9327B","OFFEFF899E2B1D230AA","accepted","3","2","2025-01-11T11:11:12Z","","","","","","","","","","","","","",""
"SRC899F04AA3E787E2F","offer_service","BATFA43E62327EB","1.0","SYNVEH12589491952","REQEDD522327BD0CA15","2025-01-11T15:46:00Z","2025-01-11T15:51:00Z","OEV22D666AF67E4E741","OFFF78DB78E40043E97","accepted","2","1","2025-01-11T15:44:00Z","","","","","","","","","","","","","",""
"SRC962F0B35118B2656","offer_service","BATFA43E62327EB","1.0","SYNVEH12589491952","REQEDD522327BD0CA15","2025-01-08T15:46:00Z","2025-01-11T15:56:00Z","OEV15E0D171C6F9C9BA","OFFF78DB78E40043E97","issued","1","1","2025-01-08T15:44:00Z","","PEVD89B327016A1D126","2025-01-08T15:29:00Z","2025-01-08T15:39:00Z","model_baseline","policy_v1","ASMDC7B9DF7F77C28EC","1","15516.45","0.00","15516.45","usd","USD","2025-03-09T15:44:00Z"
"SRC28208E1E698C44B1","offer_service","BATFA43E62327EB","1.0","SYNVEH37880579815","REQ1BBE1D3751C5D35F","2025-01-11T16:39:36Z","2025-01-11T16:54:36Z","OEV858AE4F6ACDA5C84","OFF15D5437B058117EA","accepted","3","2","2025-01-11T16:37:36Z","","","","","","","","","","","","","",""
