"source_record_id","source_system","source_batch_id","schema_version","synthetic_vin","request_id","source_updated_at","ingested_at","seller_id","submission_channel","market_region","odometer_value","odometer_unit","submitted_at"
"SRCBB9D2FB6584D8334","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH04287650615","REQ4D01D7882EB309ED","2025-01-01T03:48:12Z","2025-01-01T04:03:12Z","SEL1DD85D57133F40FC","web","great_lakes","15137","mi","2025-01-01T03:43:12Z"
"SRC770BC5DFE5786B77","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH30041389203","REQC3887807AF0682DA","2025-01-01T11:14:36Z","2025-01-01T06:29:36-05:00","SELE73FA947AD6828B4","mobile","mid_atlantic","15274","km","2025-01-01T11:09:36Z"
"SRC5E0C19597C72397D","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH10806999163","REQA4ADAAF962719A87","2025-01-01T18:41:00Z","2025-01-01T18:56:00Z","SELEE0682F756943A8E","web","mountain_west","15411","mi","2025-01-01T18:36:00Z"
"SRC44E24E58708AC1E9","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH75403225487","REQ93555B3955F8681C","2025-01-02T02:07:24Z","2025-01-02T02:22:24Z","SELBBB1C7ED719D0986","mobile","pacific_coast","15548","km","2025-01-02T02:02:24Z"
"SRC507E1E000EF60EA1","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH16363139488","REQ1B49F147B3C7580C","2025-01-02T09:33:48Z","2025-01-02T09:48:48Z","SEL450BB931E2544083","web","great_lakes","15685","mi","2025-01-02T09:28:48Z"
"SRC456CB9B6B26A59AF","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH37914072433","REQ974118D9D40FC337","2025-01-02T17:00:12Z","2025-01-02T17:15:12Z","SELEA38095B0DDF61A4","mobile","mid_atlantic","15822","km","2025-01-02T16:55:12Z"
"SRC7EC022A285362650","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH56956555210","REQ7EC54EEB347E5B8C","2025-01-03T00:26:36Z","2025-01-03T00:41:36Z","SELAE5DE1FDEDECC606","web","mountain_west","15959","mi","2025-01-03T00:21:36Z"
"SRC202D5E8D2AA16D9D","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH64032883735","REQD6CAFD8205678022","2025-01-03T07:53:00Z","2025-01-03T08:08:00Z","SEL1C0CA9249547498C","mobile","pacific_coast","16096","km","2025-01-03T07:48:00Z"
"SRC023E169CAF27785C","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH15183875192","REQ7EC5077614DFB799","2025-01-03T15:19:24Z","2025-01-03T15:34:24Z","SEL6060038413F63A43","web","great_lakes","16233","mi","2025-01-03T15:14:24Z"
"SRCEBE7E903A498F8F0","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH72069358607","REQEAB2166CC5A6A955","2025-01-03T22:45:48Z","2025-01-03T23:00:48Z","SELFEB222E0D0BDC427","mobile","mid_atlantic","16370","km","2025-01-03T22:40:48Z"
"SRCE0DB1A94BB3426BD","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH13334914722","REQ7A153B5688B8A337","2025-01-04T06:12:12Z","2025-01-04T06:27:12Z","SELF2DCC1C3F34ACA4B","web","mountain_west","16507","mi","2025-01-04T06:07:12Z"
"SRCE02AB9C60CF23ECA","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH84271930923","REQ8A933FB2B9635340","2025-01-04T13:38:36Z","2025-01-04T13:53:36Z","SEL3FAC07AC27DB1670","mobile","pacific_coast","16644","km","2025-01-04T13:33:36Z"
"SRC438C478572B6155D","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH30371248303","REQ912B34051FA39AEC","2025-01-04T21:05:00Z","2025-01-04T21:20:00Z","SELDDAD5EA9142580DE","web","great_lakes","16781","mi","2025-01-04T21:00:00Z"
"SRC793B15D8D657A33B","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH41830934329","REQA0B264469524F098","2025-01-05T04:31:24Z","2025-01-05T04:46:24Z","SEL0B50512F90EDB8BB","mobile","mid_atlantic","16918","km","2025-01-05T04:26:24Z"
"SRC8A7B49D2B00DA894","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH35064092823","REQ315CC4DE9EF5F142","2025-01-05T11:57:48Z","2025-01-05T12:12:48Z","SELAB07BA549703DED4","web","mountain_west","17055","mi","2025-01-05T11:52:48Z"
"SRCBA3160E4DDD9EB55","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH01282077881","REQ186459BCFACC07A1","2025-01-05T19:24:12Z","2025-01-05T19:39:12Z","SEL7CDF9659516F2393","mobile","pacific_coast","17192","km","2025-01-05T19:19:12Z"
"SRC5A7F6C67EB7FAEE1","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH44782127530","REQF19246B041474E8B","2025-01-06T02:50:36Z","2025-01-06T03:05:36Z","SEL326F07BF23A0782E","web","great_lakes","17329","mi","2025-01-06T02:45:36Z"
"SRCDD612382297DAB47","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH89240792397","REQ9019E9A82FF1746B","2025-01-06T10:17:00Z","2025-01-06T10:32:00Z","SELDE12B6B5072D2EFF","mobile","mid_atlantic","17466","km","2025-01-06T10:12:00Z"
"SRC4361FFCD63437888","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH11435056309","REQ18AB6D4414F1BEFD","2025-01-06T17:43:24Z","2025-01-06T17:58:24Z","SEL71F99A13B79AD848","web","mountain_west","17603","mi","2025-01-06T17:38:24Z"
"SRC521E7D0520571225","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH80938051535","REQE2D78AFB99541FAF","2025-01-07T01:09:48Z","2025-01-07T01:24:48Z","SEL792214FB50593D13","mobile","pacific_coast","17740","km","2025-01-07T01:04:48Z"
"SRC1F8AC56A123F287E","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH02490575522","REQ4BFCB9A4F4BA0D4D","2025-01-07T08:36:12Z","2025-01-07T08:51:12Z","SEL63AB080C8CD74468","web","great_lakes","17877","mi","2025-01-07T08:31:12Z"
"SRC3A81210607292C04","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH37880579815","REQ1BBE1D3751C5D35F","2025-01-07T16:02:36Z","2025-01-07T16:17:36Z","SEL9CB7DEAFCF3FCB9A","mobile","mid_atlantic","18014","km","2025-01-07T15:57:36Z"
"SRCFA224225DBE33DBF","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH12589491952","REQEDD522327BD0CA15","2025-01-07T23:29:00Z","2025-01-07T23:44:00Z","SEL85E75ED00606F618","web","mountain_west","18151","mi","2025-01-07T23:24:00Z"
"SRC59E03860A50D58D4","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH39957616274","REQ035C8F165068E256","2025-01-08T06:55:24Z","2025-01-08T07:10:24Z","SEL0A4A398C7DEDD7A3","mobile","pacific_coast","18288","km","2025-01-08T06:50:24Z"
"SRC798F3B6A44532F8C","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH54672236367","REQ9D2369CF46D04002","2025-01-08T14:21:48Z","2025-01-08T14:36:48Z","SEL9366205B2BBAEF64","web","great_lakes","18425","mi","2025-01-08T14:16:48Z"
"SRC3583737956A5470C","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH00949076713","REQ11ADC8E72C0922F1","2025-01-08T21:48:12Z","2025-01-08T22:03:12Z","SEL01DCC9172E59BF71","mobile","mid_atlantic","18562","km","2025-01-08T21:43:12Z"
"SRC7C64C5451C34A4D1","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH45280038510","REQ5196EA366673473C","2025-01-09T05:14:36Z","2025-01-09T05:29:36Z","SEL284128063AC48BDF","web","mountain_west","18699","mi","2025-01-09T05:09:36Z"
"SRC0657CD1C237A95C8","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH07647262397","REQEF2BC4ACBCC41B0E","2025-01-09T12:41:00Z","2025-01-09T12:56:00Z","SELD6291FE7EBA5E656","mobile","pacific_coast","18836","km","2025-01-09T12:36:00Z"
"SRCFC5A149395171BA8","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH08957259698","REQ4400AE2C6817320D","2025-01-09T20:07:24Z","2025-01-09T20:22:24Z","SEL169B9AEFD22BE179","web","great_lakes","18973","mi","2025-01-09T20:02:24Z"
"SRC7EF35986A8C2EC57","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH25377858974","REQE603CE7E7022905B","2025-01-10T03:33:48Z","2025-01-10T03:48:48Z","SEL52484FF85A207B35","mobile","mid_atlantic","19110","km","2025-01-10T03:28:48Z"
"SRC3C078F524BDC6746","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH67818072246","REQEA1D072F030812A9","2025-01-10T11:00:12Z","2025-01-10T11:15:12Z","SELF5A0D8B434800D92","web","mountain_west","19247","mi","2025-01-10T10:55:12Z"
"SRC88BA5EEA54D5F7FB","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH26061679096","REQ28D5923A6D8E3BFF","2025-01-10T18:26:36Z","2025-01-10T18:41:36Z","SEL7722ACAF40F2AC33","mobile","pacific_coast","19384","km","2025-01-10T18:21:36Z"
"SRC37FC93750759AE27","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH65719307648","REQ589A5AD677F033A6","2025-01-11T01:53:00Z","2025-01-11T02:08:00Z","SELE2B654D1FDEE144C","web","great_lakes","19521","mi","2025-01-11T01:48:00Z"
"SRC4626DC1512554244","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH67387899765","REQ46254D0A0441F25D","2025-01-11T09:19:24Z","2025-01-11T09:34:24Z","SEL323CAD4EC2422387","mobile","mid_atlantic","19658","km","2025-01-11T09:14:24Z"
"SRC2B1DCA992D109DF5","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH22344887415","REQ06CA9CFF13BE3D52","2025-01-11T16:45:48Z","2025-01-11T17:00:48Z","SELC2637E7A5F3DBD99","web","mountain_west","19795","mi","2025-01-11T16:40:48Z"
"SRC57599C439E44522B","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH18675119091","REQ6F6BD63CC942DE43","2025-01-12T00:12:12Z","2025-01-12T00:27:12Z","SEL00C5BF958D5686D3","mobile","pacific_coast","19932","km","2025-01-12T00:07:12Z"
"SRCB0B7C224DB491959","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH65668207955","REQC5493522426706D7","2025-01-12T07:38:36Z","2025-01-12T07:53:36Z","SEL1EB2D5C899BE837C","web","great_lakes","20069","mi","2025-01-12T07:33:36Z"
"SRCCAF174791CB6AD51","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH02392738595","REQ4569AD1B99C4A37E","2025-01-12T15:05:00Z","2025-01-12T15:20:00Z","SELA482DC2ADD122501","mobile","mid_atlantic","20206","km","2025-01-12T15:00:00Z"
"SRC04C0105C34766707","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH77105474173","REQ93346C3CAFE36F17","2025-01-12T22:31:24Z","2025-01-12T22:46:24Z","SEL1B89B469AAB2C70E","web","mountain_west","20343","mi","2025-01-12T22:26:24Z"
"SRCDA4FBA5BEFD9475F","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH24682896119","REQAF031CE47181BB2B","2025-01-13T05:57:48Z","2025-01-13T06:12:48Z","SEL269B174E6CF67EF9","mobile","pacific_coast","20480","km","2025-01-13T05:52:48Z"
"SRCC5E5B102DE13DE18","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH47854879617","REQBD19B464CCC6F367","2025-01-13T13:24:12Z","2025-01-13T13:39:12Z","SELDB46DB302E02442B","web","great_lakes","20617","mi","2025-01-13T13:19:12Z"
"SRCB73D16411B06C5D8","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH54499643452","REQ5A30E2C305EDE790","2025-01-13T20:50:36Z","2025-01-13T21:05:36Z","SELE673716147E6DFF8","mobile","mid_atlantic","20754","km","2025-01-13T20:45:36Z"
"SRCF865CEF5668B7259","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH47093572991","REQAAA6E4733EF76DC0","2025-01-14T04:17:00Z","2025-01-14T04:32:00Z","SEL052F5F0A05C29EDA","web","mountain_west","20891","mi","2025-01-14T04:12:00Z"
"SRC44ED74D62A68ADB4","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH77541577523","REQFE2FF22CD30787DC","2025-01-14T11:43:24Z","2025-01-14T11:58:24Z","SELE040483DD076E0F6","mobile","pacific_coast","21028","km","2025-01-14T11:38:24Z"
"SRC7EB982FAFF8F2A3C","valuation_portal","BAT4F563E461D5D","1.0","SYNVEH76567357004","REQAB21F2C79F43BB92","2025-01-14T19:09:48Z","2025-01-14T19:24:48Z","SEL23F6D0607F144018","web","great_lakes","21165","mi","2025-01-14T19:04:48Z"
