"source_record_id","source_system","source_batch_id","schema_version","synthetic_vin","request_id","source_updated_at","ingested_at","assessment_id","assessment_version","assessment_status","assessment_method_version","vehicle_model_family","vehicle_segment","model_year","assessed_odometer_value","assessed_odometer_unit","battery_soh_value","battery_soh_unit","condition_grade","observed_at","assessment_completed_at","available_to_model_at"
"SRC1B54A7382DCA8F50","vehicle_assessment","BAT5F065168B7D8","0.9","SYNVEH04287650615","REQ4D01D7882EB309ED","2025-01-01T04:18:12Z","2025-01-01T04:38:12Z","ASM537C1DFD89B8E32E","","","","","","","","","","","","","",""
"SRC0E513C797047D60C","vehicle_assessment","BAT0EFEC9A5D5DA","1.0","SYNVEH04287650615","REQ4D01D7882EB309ED","2025-01-01T17:48:12Z","2025-01-01T18:18:12Z","ASME3BAC7AAF842AA41","1","failed","method_baseline","","","","","","","","","","2025-01-01T17:43:12Z","2025-01-01T19:18:12Z"
"SRC7CCBC9446F2DA810","vehicle_assessment","BAT0EFEC9A5D5DA","1.0","SYNVEH30041389203","REQC3887807AF0682DA","2025-01-02T01:14:36Z","2025-01-02T02:44:36Z","ASM3265F1C292AC8E0E","1","failed","method_baseline","","","","","","","","","","2025-01-02T01:09:36Z","2025-01-02T01:44:36Z"
"SRC87EB61B5EE66F274","vehicle_assessment","BAT0EFEC9A5D5DA","1.0","SYNVEH10806999163","REQA4ADAAF962719A87","2025-01-02T08:41:00Z","2025-01-02T09:11:00Z","ASM1715BA1850E4C6B5","1","failed","method_baseline","","","","","","","","","","2025-01-02T08:36:00Z","2025-01-02T10:11:00Z"
"SRC8A3D2FBD427C8595","vehicle_assessment","BAT0EFEC9A5D5DA","1.0","SYNVEH75403225487","REQ93555B3955F8681C","2025-01-02T16:07:24Z","2025-01-02T17:37:24Z","ASM9BB15665A836E7AA","1","failed","method_baseline","","","","","","","","","","2025-01-02T16:02:24Z","2025-01-02T16:37:24Z"
"SRC768E40B3C89E2590","vehicle_assessment","BAT0EFEC9A5D5DA","1.0","SYNVEH16363139488","REQ1B49F147B3C7580C","2025-01-02T23:33:48Z","2025-01-03T00:03:48Z","ASM38BB86B4EAE163BE","1","failed","method_baseline","","","","","","","","","","2025-01-02T23:28:48Z","2025-01-03T01:03:48Z"
"SRC679D10AABA6686BE","vehicle_assessment","BAT0EFEC9A5D5DA","1.0","SYNVEH37914072433","REQ974118D9D40FC337","2025-01-03T07:00:12Z","2025-01-03T08:30:12Z","ASMFB2D865CB419B1B4","1","failed","method_baseline","","","","","","","","","","2025-01-03T06:55:12Z","2025-01-03T07:30:12Z"
"SRC89BC4CC88AD40D14","vehicle_assessment","BAT0EFEC9A5D5DA","1.0","SYNVEH56956555210","REQ7EC54EEB347E5B8C","2025-01-03T14:26:36Z","2025-01-03T14:56:36Z","ASME82627C797765400","1","failed","method_baseline","","","","","","","","","","2025-01-03T14:21:36Z","2025-01-03T15:56:36Z"
"SRCA73B5787EBBC94F8","vehicle_assessment","BAT0EFEC9A5D5DA","1.0","SYNVEH64032883735","REQD6CAFD8205678022","2025-01-03T21:53:00Z","2025-01-03T23:23:00Z","ASM5675E73854C738E4","1","failed","method_baseline","","","","","","","","","","2025-01-03T21:48:00Z","2025-01-03T22:23:00Z"
"SRC02A79353A90DCE99","vehicle_assessment","BAT0EFEC9A5D5DA","1.0","SYNVEH15183875192","REQ7EC5077614DFB799","2025-01-04T05:19:24Z","2025-01-04T05:49:24Z","ASM5FC5911CCFA60B6C","1","failed","method_baseline","","","","","","","","","","2025-01-04T05:14:24Z","2025-01-04T06:49:24Z"
"SRCDB6DF2CFC958F161","vehicle_assessment","BAT0EFEC9A5D5DA","1.0","SYNVEH72069358607","REQEAB2166CC5A6A955","2025-01-04T12:45:48Z","2025-01-04T14:15:48Z","ASMC6FDF05B22F6D9DE","1","failed","method_baseline","","","","","","","","","","2025-01-04T12:40:48Z","2025-01-04T13:15:48Z"
"SRC022A97FEA4EA137C","vehicle_assessment","BAT0EFEC9A5D5DA","1.0","SYNVEH13334914722","REQ7A153B5688B8A337","2025-01-04T20:12:12Z","2025-01-04T20:42:12Z","ASM1F120229E24A6CEC","1","failed","method_baseline","","","","","","","","","","2025-01-04T20:07:12Z","2025-01-04T21:42:12Z"
"SRC0ADF711B64F59488","vehicle_assessment","BAT0EFEC9A5D5DA","1.0","SYNVEH84271930923","REQ8A933FB2B9635340","2025-01-05T03:38:36Z","2025-01-05T05:08:36Z","ASMD958ABEA5ACBA8CC","1","failed","method_baseline","","","","","","","","","","2025-01-05T03:33:36Z","2025-01-05T04:08:36Z"
"SRCA8CC57CB6ECB4610","vehicle_assessment","BAT0EFEC9A5D5DA","1.0","SYNVEH30371248303","REQ912B34051FA39AEC","2025-01-05T11:05:00Z","2025-01-05T11:35:00Z","ASM6091FD3032F5FDFE","1","failed","method_baseline","","","","","","","","","","2025-01-05T11:00:00Z","2025-01-05T12:35:00Z"
"SRC0E101A4A421F0E02","vehicle_assessment","BAT0EFEC9A5D5DA","1.0","SYNVEH41830934329","REQA0B264469524F098","2025-01-05T18:31:24Z","2025-01-05T20:01:24Z","ASMF7819B24E74D19D0","1","failed","method_baseline","","","","","","","","","","2025-01-05T18:26:24Z","2025-01-05T19:01:24Z"
